Date,Transport_Type,Total_Ridership,Percent_compared_to_pre_pandemic_day
2020-09-09,Subways,1610076,28
2020-09-10,Subways,1543662,27
2020-09-11,Subways,1690334,29
2020-09-12,Subways,1083698,34
2020-09-13,Subways,796740,31
2020-09-14,Subways,1604381,28
2020-09-15,Subways,1678078,29
2020-09-16,Subways,1686909,29
2020-09-17,Subways,1692368,29
2020-09-18,Subways,1725443,30
2020-09-19,Subways,1136947,35
2020-09-20,Subways,827605,33
2020-09-21,Subways,1624139,28
2020-09-22,Subways,1698504,29
2020-09-23,Subways,1735333,30
2020-09-24,Subways,1722364,30
2020-09-25,Subways,1761591,31
2020-09-26,Subways,1120143,35
2020-09-27,Subways,846179,33
2020-09-28,Subways,1489240,26
2020-09-29,Subways,1661264,29
2020-09-30,Subways,1740820,30
2020-10-01,Subways,1809958,31
2020-10-02,Subways,1790612,31
2020-10-03,Subways,1168040,35
2020-10-04,Subways,852830,35
2020-10-05,Subways,1678792,29
2020-10-06,Subways,1758454,31
2020-10-07,Subways,1770617,31
2020-10-08,Subways,1798005,31
2020-10-09,Subways,1808079,31
2020-10-10,Subways,1170227,35
2020-10-11,Subways,848469,35
2020-10-12,Subways,1284655,22
2020-10-13,Subways,1715183,30
2020-10-14,Subways,1838682,32
2020-10-15,Subways,1853753,32
2020-10-16,Subways,1671320,29
2020-10-17,Subways,1209473,36
2020-10-18,Subways,896812,37
2020-10-19,Subways,1719153,30
2020-10-20,Subways,1780231,31
2020-10-21,Subways,1812949,32
2020-10-22,Subways,1825208,32
2020-10-23,Subways,1842588,32
2020-10-24,Subways,1185612,36
2020-10-25,Subways,885001,36
2020-10-26,Subways,1690651,29
2020-10-27,Subways,1815242,32
2020-10-28,Subways,1819352,32
2020-10-29,Subways,1705072,30
2020-10-30,Subways,1768018,31
2020-10-31,Subways,1174059,35
2020-11-01,Subways,786675,31
2020-11-02,Subways,1747908,31
2020-11-03,Subways,1602912,28
2020-11-04,Subways,1690489,30
2020-11-05,Subways,1793796,32
2020-11-06,Subways,1837314,33
2020-11-07,Subways,1246321,39
2020-11-08,Subways,927670,37
2020-11-09,Subways,1752614,31
2020-11-10,Subways,1836902,33
2020-11-11,Subways,1614812,64
2020-11-12,Subways,1776666,32
2020-11-13,Subways,1816693,32
2020-11-14,Subways,1215477,38
2020-11-15,Subways,820858,33
2020-11-16,Subways,1741750,31
2020-11-17,Subways,1788847,32
2020-11-18,Subways,1787688,32
2020-11-19,Subways,1757535,31
2020-11-20,Subways,1800423,32
2020-11-21,Subways,1157957,37
2020-11-22,Subways,817963,32
2020-11-23,Subways,1646525,29
2020-11-24,Subways,1735702,31
2020-11-25,Subways,1688227,30
2020-11-26,Subways,652276,26
2020-11-27,Subways,1263473,50
2020-11-28,Subways,1032823,33
2020-11-29,Subways,826974,33
2020-11-30,Subways,1459131,26
2020-12-01,Subways,1706348,32
2020-12-02,Subways,1699968,32
2020-12-03,Subways,1736045,33
2020-12-04,Subways,1701628,32
2020-12-05,Subways,1000240,30
2020-12-06,Subways,878393,35
2020-12-07,Subways,1656627,31
2020-12-08,Subways,1540893,29
2020-12-09,Subways,1701926,32
2020-12-10,Subways,1761336,33
2020-12-11,Subways,1786290,33
2020-12-12,Subways,1091352,33
2020-12-13,Subways,911439,36
2020-12-14,Subways,1584089,30
2020-12-15,Subways,1783388,33
2020-12-16,Subways,1569079,29
2020-12-17,Subways,1079818,20
2020-12-18,Subways,1735664,33
2020-12-19,Subways,1112827,34
2020-12-20,Subways,821265,32
2020-12-21,Subways,1716035,32
2020-12-22,Subways,1760948,33
2020-12-23,Subways,1772537,33
2020-12-24,Subways,1312480,25
2020-12-25,Subways,485208,19
2020-12-26,Subways,879170,26
2020-12-27,Subways,760350,30
2020-12-28,Subways,1510168,28
