Date,Transport_Type,Total_Ridership,Percent_compared_to_pre_pandemic_day
2020-03-04,Buses,2177165,97
2020-03-05,Buses,2244515,100
2020-03-06,Buses,2066743,92
2020-03-07,Buses,1249085,94
2020-03-08,Buses,957163,96
2020-03-09,Buses,2124770,95
2020-03-10,Buses,2111989,94
2020-03-11,Buses,2112967,94
2020-03-12,Buses,1938424,86
2020-03-13,Buses,1715737,77
2020-03-14,Buses,993287,75
2020-03-15,Buses,711555,72
2020-03-16,Buses,1237309,55
2020-03-17,Buses,1094949,49
2020-03-18,Buses,1059502,47
2020-03-19,Buses,933602,42
2020-03-20,Buses,868602,39
2020-03-21,Buses,411491,31
2020-03-22,Buses,73517,7
2020-03-23,Buses,59321,3
2020-03-24,Buses,60334,3
2020-03-25,Buses,51769,2
2020-03-26,Buses,49970,2
2020-03-27,Buses,45514,2
2020-03-28,Buses,19745,1
2020-03-29,Buses,14307,1
2020-03-30,Buses,33659,2
2020-03-31,Buses,32211,1
2020-04-01,Buses,29373,1
2020-04-02,Buses,26788,1
2020-04-03,Buses,24418,1
2020-04-04,Buses,13168,1
2020-04-05,Buses,9748,1
2020-04-06,Buses,22418,1
2020-04-07,Buses,21623,1
2020-04-08,Buses,20361,1
2020-04-09,Buses,18734,1
2020-04-10,Buses,17135,1
2020-04-11,Buses,9718,1
2020-04-12,Buses,7041,1
2020-04-13,Buses,14408,1
2020-04-14,Buses,17937,1
2020-04-15,Buses,16895,1
2020-04-16,Buses,16632,1
2020-04-17,Buses,16350,1
2020-04-18,Buses,8115,1
2020-04-19,Buses,6929,1
2020-04-20,Buses,16522,1
2020-04-21,Buses,15231,1
2020-04-22,Buses,16487,1
2020-04-23,Buses,15786,1
2020-04-24,Buses,14237,1
2020-04-25,Buses,8832,1
2020-04-26,Buses,5498,1
2020-04-27,Buses,15283,1
2020-04-28,Buses,16380,1
2020-04-29,Buses,15406,1
2020-04-30,Buses,14062,1
2020-05-01,Buses,14893,1
2020-05-02,Buses,8912,1
2020-05-03,Buses,6404,1
2020-05-04,Buses,16315,1
2020-05-05,Buses,16377,1
2020-05-06,Buses,15677,1
2020-05-07,Buses,16130,1
2020-05-08,Buses,14571,1
2020-05-09,Buses,7594,1
2020-05-10,Buses,6367,1
2020-05-11,Buses,15176,1
2020-05-12,Buses,15989,1
2020-05-13,Buses,16170,1
2020-05-14,Buses,15905,1
2020-05-15,Buses,15481,1
2020-05-16,Buses,8742,1
2020-05-17,Buses,6504,1
2020-05-18,Buses,17206,1
2020-05-19,Buses,17296,1
2020-05-20,Buses,17674,1
2020-05-21,Buses,17565,1
2020-05-22,Buses,16453,1
2020-05-23,Buses,7186,1
2020-05-24,Buses,6642,1
2020-05-25,Buses,7996,1
2020-05-26,Buses,17819,1
2020-05-27,Buses,17911,1
2020-05-28,Buses,17535,1
2020-05-29,Buses,16378,1
2020-05-30,Buses,9112,1
2020-05-31,Buses,6724,1
2020-06-01,Buses,17833,1
2020-06-02,Buses,16576,1
2020-06-03,Buses,17830,1
2020-06-04,Buses,18538,1
2020-06-05,Buses,16863,1
2020-06-06,Buses,8912,1
2020-06-07,Buses,7579,1
2020-06-08,Buses,25663,1
2020-06-09,Buses,26247,1
2020-06-10,Buses,26735,1
2020-06-11,Buses,24284,1
2020-06-12,Buses,24459,1
2020-06-13,Buses,12115,1
2020-06-14,Buses,8731,1
2020-06-15,Buses,27057,1
2020-06-16,Buses,28049,1
2020-06-17,Buses,27924,1
2020-06-18,Buses,27516,1
2020-06-19,Buses,25578,2
2020-06-20,Buses,11899,1
2020-06-21,Buses,9072,1
2020-06-22,Buses,30863,1
2020-06-23,Buses,32305,2
2020-06-24,Buses,32504,2
2020-06-25,Buses,32393,2
2020-06-26,Buses,30480,1
2020-06-27,Buses,12942,1
2020-06-28,Buses,10167,1
2020-06-29,Buses,33264,2
2020-06-30,Buses,33996,2
2020-07-01,Buses,32921,2
2020-07-02,Buses,32730,2
2020-07-03,Buses,16862,2
2020-07-04,Buses,10769,1
2020-07-05,Buses,9832,1
2020-07-06,Buses,31548,2
2020-07-07,Buses,33595,2
2020-07-08,Buses,34242,2
2020-07-09,Buses,34762,2
2020-07-10,Buses,25544,1
2020-07-11,Buses,12872,1
2020-07-12,Buses,10966,1
2020-07-13,Buses,33302,2
2020-07-14,Buses,35391,2
2020-07-15,Buses,34701,2
2020-07-16,Buses,34199,2
2020-07-17,Buses,29696,1
2020-07-18,Buses,14335,1
2020-07-19,Buses,9845,1
2020-07-20,Buses,30196,1
2020-07-21,Buses,32482,2
2020-07-22,Buses,33863,2
2020-07-23,Buses,33999,2
2020-07-24,Buses,29987,1
2020-07-25,Buses,14777,1
2020-07-26,Buses,9711,1
2020-07-27,Buses,32072,2
2020-07-28,Buses,33753,2
2020-07-29,Buses,35257,2
2020-07-30,Buses,33982,2
2020-07-31,Buses,29917,1
2020-08-01,Buses,16087,1
2020-08-02,Buses,9874,1
2020-08-03,Buses,36945,2
2020-08-04,Buses,29426,1
2020-08-05,Buses,38283,2
2020-08-06,Buses,37059,2
2020-08-07,Buses,32170,2
2020-08-08,Buses,15143,1
2020-08-09,Buses,11534,1
2020-08-10,Buses,34883,2
2020-08-11,Buses,36426,2
2020-08-12,Buses,36053,2
2020-08-13,Buses,34723,2
2020-08-14,Buses,32713,2
2020-08-15,Buses,15522,1
2020-08-16,Buses,8603,1
2020-08-17,Buses,34768,2
2020-08-18,Buses,36646,2
2020-08-19,Buses,34181,2
2020-08-20,Buses,35059,2
2020-08-21,Buses,31342,2
2020-08-22,Buses,13705,1
2020-08-23,Buses,9698,1
2020-08-24,Buses,34021,2
2020-08-25,Buses,34993,2
2020-08-26,Buses,35975,2
2020-08-27,Buses,33969,2
2020-08-28,Buses,31956,2
2020-08-29,Buses,14035,1
2020-08-30,Buses,16027,1
2020-08-31,Buses,787291,39
2020-09-01,Buses,947758,41
2020-09-02,Buses,972213,42
2020-09-03,Buses,1022623,44
2020-09-04,Buses,1030811,44
2020-09-05,Buses,715922,51
2020-09-06,Buses,559273,51
2020-09-07,Buses,615802,56
2020-09-08,Buses,1039401,45
2020-09-09,Buses,1072887,46
2020-09-10,Buses,997030,43
2020-09-11,Buses,1070920,46
2020-09-12,Buses,752875,54
2020-09-13,Buses,557231,51
2020-09-14,Buses,1065601,46
2020-09-15,Buses,1091806,47
2020-09-16,Buses,1097389,47
2020-09-17,Buses,1094592,47
2020-09-18,Buses,1083295,47
2020-09-19,Buses,752437,54
2020-09-20,Buses,558863,51
2020-09-21,Buses,1058256,46
2020-09-22,Buses,1095678,47
2020-09-23,Buses,1119904,48
2020-09-24,Buses,1107707,48
2020-09-25,Buses,1110956,48
2020-09-26,Buses,755197,54
2020-09-27,Buses,576684,52
2020-09-28,Buses,985185,42
2020-09-29,Buses,1057135,46
2020-09-30,Buses,1101663,47
2020-10-01,Buses,1159859,51
2020-10-02,Buses,1115793,49
2020-10-03,Buses,777674,56
2020-10-04,Buses,570608,57
2020-10-05,Buses,1102675,49
2020-10-06,Buses,1137217,50
2020-10-07,Buses,1123231,50
2020-10-08,Buses,1126770,50
2020-10-09,Buses,1117172,50
2020-10-10,Buses,771088,55
2020-10-11,Buses,564051,56
2020-10-12,Buses,767564,34
2020-10-13,Buses,1063680,47
2020-10-14,Buses,1162256,52
2020-10-15,Buses,1152434,51
2020-10-16,Buses,974110,43
2020-10-17,Buses,778070,56
2020-10-18,Buses,583350,58
2020-10-19,Buses,1105134,49
2020-10-20,Buses,1119283,50
2020-10-21,Buses,1140385,51
2020-10-22,Buses,1140210,51
2020-10-23,Buses,1123540,50
2020-10-24,Buses,775122,56
2020-10-25,Buses,572347,57
2020-10-26,Buses,1061566,47
2020-10-27,Buses,1143906,51
2020-10-28,Buses,1119450,50
2020-10-29,Buses,987440,44
2020-10-30,Buses,1030639,46
2020-10-31,Buses,747636,54
2020-11-01,Buses,510820,51
2020-11-02,Buses,1072262,49
2020-11-03,Buses,1027710,47
2020-11-04,Buses,1089354,50
2020-11-05,Buses,1130774,52
2020-11-06,Buses,1120729,51
2020-11-07,Buses,752851,57
2020-11-08,Buses,587220,59
2020-11-09,Buses,1111203,51
2020-11-10,Buses,1151911,53
2020-11-11,Buses,969123,97
2020-11-12,Buses,1054132,48
2020-11-13,Buses,1061680,48
2020-11-14,Buses,755951,57
2020-11-15,Buses,528421,53
2020-11-16,Buses,1079560,49
2020-11-17,Buses,1092416,50
2020-11-18,Buses,1065597,49
2020-11-19,Buses,1056928,48
2020-11-20,Buses,1079029,49
2020-11-21,Buses,750801,57
2020-11-22,Buses,542124,54
2020-11-23,Buses,1005225,46
2020-11-24,Buses,1068789,49
2020-11-25,Buses,1037242,47
2020-11-26,Buses,444391,45
2020-11-27,Buses,815993,82
2020-11-28,Buses,689580,52
2020-11-29,Buses,548548,55
2020-11-30,Buses,849277,39
2020-12-01,Buses,1068627,53
2020-12-02,Buses,1026056,51
2020-12-03,Buses,1070197,53
2020-12-04,Buses,1024641,51
2020-12-05,Buses,617332,49
2020-12-06,Buses,547330,56
2020-12-07,Buses,1032813,52
2020-12-08,Buses,1034410,52
2020-12-09,Buses,1018247,51
2020-12-10,Buses,1075970,54
2020-12-11,Buses,1064457,53
2020-12-12,Buses,703892,55
2020-12-13,Buses,582389,60
2020-12-14,Buses,955525,48
2020-12-15,Buses,1088287,54
2020-12-16,Buses,853797,43
2020-12-17,Buses,523854,26
2020-12-18,Buses,943587,47
2020-12-19,Buses,670787,53
2020-12-20,Buses,516593,53
2020-12-21,Buses,1028489,51
2020-12-22,Buses,1046799,52
2020-12-23,Buses,1048565,52
2020-12-24,Buses,822916,41
2020-12-25,Buses,314171,32
2020-12-26,Buses,559111,44
2020-12-27,Buses,474033,48
2020-12-28,Buses,922336,46
2020-12-29,Buses,930711,46
2020-12-30,Buses,948194,47
2020-12-31,Buses,792993,40
2021-01-01,Buses,378288,41
2021-01-02,Buses,608686,51
2021-01-03,Buses,413820,45
2021-01-04,Buses,964597,47
2021-01-05,Buses,990479,48
2021-01-06,Buses,996123,49
2021-01-07,Buses,989097,48
2021-01-08,Buses,982175,48
2021-01-09,Buses,643475,54
2021-01-10,Buses,501437,55
2021-01-11,Buses,966517,47
2021-01-12,Buses,997279,49
2021-01-13,Buses,996646,49
2021-01-14,Buses,1017757,50
2021-01-15,Buses,981817,48
2021-01-16,Buses,645625,54
2021-01-17,Buses,504031,55
2021-01-18,Buses,766926,84
2021-01-19,Buses,1013616,50
2021-01-20,Buses,921371,45
2021-01-21,Buses,1007042,49
2021-01-22,Buses,1018584,50
2021-01-23,Buses,619673,52
2021-01-24,Buses,458203,50
2021-01-25,Buses,978987,48
2021-01-26,Buses,911579,45
2021-01-27,Buses,1004792,49
2021-01-28,Buses,950205,46
2021-01-29,Buses,812264,40
2021-01-30,Buses,566837,47
2021-01-31,Buses,427945,47
2021-02-01,Buses,337228,16
2021-02-02,Buses,543073,25
2021-02-03,Buses,949695,44
2021-02-04,Buses,1033791,48
2021-02-05,Buses,1001775,47
2021-02-06,Buses,715717,57
2021-02-07,Buses,367095,38
2021-02-08,Buses,964007,45
2021-02-09,Buses,992290,46
2021-02-10,Buses,1052021,49
2021-02-11,Buses,1005348,47
2021-02-12,Buses,965421,45
2021-02-13,Buses,656637,52
2021-02-14,Buses,479319,49
2021-02-15,Buses,726412,74
2021-02-16,Buses,963223,45
2021-02-17,Buses,1061711,49
2021-02-18,Buses,725951,34
2021-02-19,Buses,809308,38
2021-02-20,Buses,679240,54
2021-02-21,Buses,516715,53
2021-02-22,Buses,927414,43
2021-02-23,Buses,1040398,48
2021-02-24,Buses,1099351,51
2021-02-25,Buses,1069420,50
2021-02-26,Buses,1065376,50
2021-02-27,Buses,635820,50
2021-02-28,Buses,491545,50
2021-03-01,Buses,1020837,46
2021-03-02,Buses,1024511,46
2021-03-03,Buses,1119137,50
2021-03-04,Buses,1078036,48
2021-03-05,Buses,1041408,46
2021-03-06,Buses,696719,52
2021-03-07,Buses,525930,53
2021-03-08,Buses,1039763,46
2021-03-09,Buses,1101988,49
2021-03-10,Buses,1104610,49
2021-03-11,Buses,1107502,49
2021-03-12,Buses,1092388,49
2021-03-13,Buses,730218,55
2021-03-14,Buses,531754,53
2021-03-15,Buses,1023990,46
2021-03-16,Buses,1062179,47
2021-03-17,Buses,1103979,49
2021-03-18,Buses,1019472,45
2021-03-19,Buses,1083647,48
2021-03-20,Buses,768908,58
2021-03-21,Buses,579358,58
2021-03-22,Buses,1095241,49
2021-03-23,Buses,1133504,51
2021-03-24,Buses,1075968,48
2021-03-25,Buses,1127964,50
2021-03-26,Buses,1091753,49
2021-03-27,Buses,781981,59
2021-03-28,Buses,459949,46
2021-03-29,Buses,1002597,45
2021-03-30,Buses,1079381,48
2021-03-31,Buses,995873,44
2021-04-01,Buses,1030209,47
2021-04-02,Buses,958085,44
2021-04-03,Buses,750682,56
2021-04-04,Buses,519812,52
2021-04-05,Buses,1088750,50
2021-04-06,Buses,1155101,53
2021-04-07,Buses,1172362,54
2021-04-08,Buses,1177833,54
2021-04-09,Buses,1144311,52
2021-04-10,Buses,790023,59
2021-04-11,Buses,504407,51
2021-04-12,Buses,1087799,50
2021-04-13,Buses,1196355,55
2021-04-14,Buses,1199954,55
2021-04-15,Buses,1083083,50
2021-04-16,Buses,1157507,53
2021-04-17,Buses,803352,60
2021-04-18,Buses,607333,61
2021-04-19,Buses,1147977,53
2021-04-20,Buses,1223642,56
2021-04-21,Buses,1139762,52
2021-04-22,Buses,1166357,53
2021-04-23,Buses,1184193,54
2021-04-24,Buses,809163,61
2021-04-25,Buses,540989,55
2021-04-26,Buses,1156913,53
2021-04-27,Buses,1198299,55
2021-04-28,Buses,1227777,56
2021-04-29,Buses,1166096,53
2021-04-30,Buses,1185321,54
2021-05-01,Buses,818655,59
2021-05-02,Buses,620063,64
2021-05-03,Buses,1165505,51
2021-05-04,Buses,1227250,54
2021-05-05,Buses,1158445,51
2021-05-06,Buses,1258536,55
2021-05-07,Buses,1222741,54
2021-05-08,Buses,779188,56
2021-05-09,Buses,576000,60
2021-05-10,Buses,1149109,51
2021-05-11,Buses,1231886,54
2021-05-12,Buses,1238990,54
2021-05-13,Buses,1182347,52
2021-05-14,Buses,1220112,54
2021-05-15,Buses,844096,60
2021-05-16,Buses,621750,65
2021-05-17,Buses,1157960,51
2021-05-18,Buses,1215676,53
2021-05-19,Buses,1253578,55
2021-05-20,Buses,1243965,55
2021-05-21,Buses,1221591,54
2021-05-22,Buses,839877,60
2021-05-23,Buses,645466,67
2021-05-24,Buses,1192453,52
2021-05-25,Buses,1253998,55
2021-05-26,Buses,1241052,55
2021-05-27,Buses,1246269,55
2021-05-28,Buses,1135369,50
2021-05-29,Buses,648192,46
2021-05-30,Buses,484864,50
2021-05-31,Buses,702801,73
2021-06-01,Buses,1230127,57
2021-06-02,Buses,1249102,58
2021-06-03,Buses,1143159,53
2021-06-04,Buses,1160335,54
2021-06-05,Buses,874545,62
2021-06-06,Buses,654780,60
2021-06-07,Buses,1200737,56
2021-06-08,Buses,1175335,55
2021-06-09,Buses,1259005,59
2021-06-10,Buses,1276901,59
2021-06-11,Buses,1221484,57
2021-06-12,Buses,849178,61
2021-06-13,Buses,647385,59
2021-06-14,Buses,1176722,55
2021-06-15,Buses,1277203,59
2021-06-16,Buses,1288040,60
2021-06-17,Buses,1281552,60
2021-06-18,Buses,1235675,114
2021-06-19,Buses,841519,60
2021-06-20,Buses,652557,60
2021-06-21,Buses,1191844,55
2021-06-22,Buses,1172110,55
2021-06-23,Buses,1264095,59
2021-06-24,Buses,1248843,58
2021-06-25,Buses,1214123,56
2021-06-26,Buses,841585,60
2021-06-27,Buses,656004,60
2021-06-28,Buses,1152019,54
2021-06-29,Buses,1169268,54
2021-06-30,Buses,1139886,53
2021-07-01,Buses,1104516,53
2021-07-02,Buses,1121116,54
2021-07-03,Buses,738089,55
2021-07-04,Buses,615001,56
2021-07-05,Buses,770321,70
2021-07-06,Buses,1181416,57
2021-07-07,Buses,1234617,60
2021-07-08,Buses,1164513,56
2021-07-09,Buses,1115969,54
2021-07-10,Buses,855908,63
2021-07-11,Buses,635511,58
2021-07-12,Buses,1171521,57
2021-07-13,Buses,1239045,60
2021-07-14,Buses,1260044,61
2021-07-15,Buses,1275846,62
2021-07-16,Buses,1219118,59
2021-07-17,Buses,795347,59
2021-07-18,Buses,640618,58
2021-07-19,Buses,1208792,58
2021-07-20,Buses,1217802,59
2021-07-21,Buses,1225595,59
2021-07-22,Buses,1279778,62
2021-07-23,Buses,1219255,59
2021-07-24,Buses,856250,63
2021-07-25,Buses,625645,57
2021-07-26,Buses,1219135,59
2021-07-27,Buses,1267804,61
2021-07-28,Buses,1276296,62
2021-07-29,Buses,1186642,57
2021-07-30,Buses,1235623,60
2021-07-31,Buses,857333,64
2021-08-01,Buses,629963,57
2021-08-02,Buses,1208484,60
2021-08-03,Buses,1262043,63
2021-08-04,Buses,1257876,62
2021-08-05,Buses,1259332,62
2021-08-06,Buses,1222343,61
2021-08-07,Buses,836715,61
2021-08-08,Buses,598574,54
2021-08-09,Buses,1183050,59
2021-08-10,Buses,1245670,62
2021-08-11,Buses,1246306,62
2021-08-12,Buses,1223666,61
2021-08-13,Buses,1189426,59
2021-08-14,Buses,811826,59
2021-08-15,Buses,661705,60
2021-08-16,Buses,1170216,58
2021-08-17,Buses,1209633,60
2021-08-18,Buses,1210760,60
2021-08-19,Buses,1194375,59
2021-08-20,Buses,1183308,59
2021-08-21,Buses,822340,60
2021-08-22,Buses,369246,33
2021-08-23,Buses,1032792,51
2021-08-24,Buses,1234884,61
2021-08-25,Buses,1236342,61
2021-08-26,Buses,1222996,61
2021-08-27,Buses,1147249,57
2021-08-28,Buses,776489,56
2021-08-29,Buses,630281,57
2021-08-30,Buses,1182908,59
2021-08-31,Buses,1246463,62
2021-09-01,Buses,1086148,47
2021-09-02,Buses,1188941,51
2021-09-03,Buses,1221668,53
2021-09-04,Buses,834456,59
2021-09-05,Buses,618622,56
2021-09-06,Buses,733947,67
2021-09-07,Buses,1102372,47
2021-09-08,Buses,1192895,51
2021-09-09,Buses,1249341,54
2021-09-10,Buses,1322430,57
2021-09-11,Buses,870791,62
2021-09-12,Buses,694561,63
2021-09-13,Buses,1441516,62
2021-09-14,Buses,1511145,65
2021-09-15,Buses,1503627,65
2021-09-16,Buses,1210069,52
2021-09-17,Buses,1456201,63
2021-09-18,Buses,871175,62
2021-09-19,Buses,674024,61
2021-09-20,Buses,1481676,64
2021-09-21,Buses,1505803,65
2021-09-22,Buses,1506211,65
2021-09-23,Buses,1483075,64
2021-09-24,Buses,1469705,63
2021-09-25,Buses,872490,62
2021-09-26,Buses,657257,60
2021-09-27,Buses,1489441,64
2021-09-28,Buses,1457421,63
2021-09-29,Buses,1513184,65
2021-09-30,Buses,1516081,65
2021-10-01,Buses,1492942,66
2021-10-02,Buses,883902,63
2021-10-03,Buses,673253,67
2021-10-04,Buses,1419155,63
2021-10-05,Buses,1499767,67
2021-10-06,Buses,1532668,68
2021-10-07,Buses,1523168,68
2021-10-08,Buses,1473912,65
2021-10-09,Buses,856308,62
2021-10-10,Buses,601821,60
2021-10-11,Buses,1045865,46
2021-10-12,Buses,1514608,67
2021-10-13,Buses,1511356,67
2021-10-14,Buses,1527543,68
2021-10-15,Buses,1491099,66
2021-10-16,Buses,856990,62
2021-10-17,Buses,663944,66
2021-10-18,Buses,1461843,65
2021-10-19,Buses,1510722,67
2021-10-20,Buses,1525608,68
2021-10-21,Buses,1476434,65
2021-10-22,Buses,1471199,65
2021-10-23,Buses,847596,61
2021-10-24,Buses,659283,66
2021-10-25,Buses,1461023,65
2021-10-26,Buses,1233660,55
2021-10-27,Buses,1503535,67
2021-10-28,Buses,1515489,67
2021-10-29,Buses,1426938,63
2021-10-30,Buses,819620,59
2021-10-31,Buses,656203,66
2021-11-01,Buses,1448304,66
2021-11-02,Buses,1258180,57
2021-11-03,Buses,1507287,69
2021-11-04,Buses,1486942,68
2021-11-05,Buses,1457014,67
2021-11-06,Buses,864499,66
2021-11-07,Buses,614513,62
2021-11-08,Buses,1461178,67
2021-11-09,Buses,1518264,69
2021-11-10,Buses,1514453,69
2021-11-11,Buses,1198235,120
2021-11-12,Buses,1350608,62
2021-11-13,Buses,815114,62
2021-11-14,Buses,657129,66
2021-11-15,Buses,1437414,66
2021-11-16,Buses,1492110,68
2021-11-17,Buses,1501740,69
2021-11-18,Buses,1505488,69
2021-11-19,Buses,1429787,65
2021-11-20,Buses,861772,65
2021-11-21,Buses,674551,68
2021-11-22,Buses,1418226,65
2021-11-23,Buses,1424890,65
2021-11-24,Buses,1343391,61
2021-11-25,Buses,509782,51
2021-11-26,Buses,843588,85
2021-11-27,Buses,750986,57
2021-11-28,Buses,592081,59
2021-11-29,Buses,1381661,63
2021-11-30,Buses,1432539,65
2021-12-01,Buses,1463384,73
2021-12-02,Buses,1449142,72
2021-12-03,Buses,1419078,71
2021-12-04,Buses,864764,68
2021-12-05,Buses,665129,68
2021-12-06,Buses,1394230,70
2021-12-07,Buses,1453136,73
2021-12-08,Buses,1430106,71
2021-12-09,Buses,1436883,72
2021-12-10,Buses,1404176,70
2021-12-11,Buses,786137,62
2021-12-12,Buses,627007,64
2021-12-13,Buses,1333718,67
2021-12-14,Buses,1378221,69
2021-12-15,Buses,1436154,72
2021-12-16,Buses,1438193,72
2021-12-17,Buses,1375383,69
2021-12-18,Buses,786073,62
2021-12-19,Buses,636393,65
2021-12-20,Buses,1277654,64
2021-12-21,Buses,1299476,65
2021-12-22,Buses,1252621,63
2021-12-23,Buses,1166953,58
2021-12-24,Buses,746809,76
2021-12-25,Buses,329549,26
2021-12-26,Buses,518897,53
2021-12-27,Buses,890096,44
2021-12-28,Buses,953933,48
2021-12-29,Buses,921562,46
2021-12-30,Buses,928012,46
2021-12-31,Buses,699749,71
2022-01-01,Buses,350845,29
2022-01-02,Buses,475096,52
2022-01-03,Buses,1000002,49
2022-01-04,Buses,1082360,53
2022-01-05,Buses,1078511,53
2022-01-06,Buses,1146904,56
2022-01-07,Buses,880997,43
2022-01-08,Buses,631341,53
2022-01-09,Buses,475438,52
2022-01-10,Buses,1147341,56
2022-01-11,Buses,1040581,51
2022-01-12,Buses,1179931,58
2022-01-13,Buses,1218552,60
2022-01-14,Buses,1186647,58
2022-01-15,Buses,573037,48
2022-01-16,Buses,456257,50
2022-01-17,Buses,694066,76
2022-01-18,Buses,1222195,60
2022-01-19,Buses,1286788,63
2022-01-20,Buses,1181953,58
2022-01-21,Buses,1151816,56
2022-01-22,Buses,655490,55
2022-01-23,Buses,529115,58
2022-01-24,Buses,1244112,61
2022-01-25,Buses,1308979,64
2022-01-26,Buses,1266798,62
2022-01-27,Buses,1275573,62
2022-01-28,Buses,1208092,59
2022-01-29,Buses,271959,23
2022-01-30,Buses,460299,50
2022-01-31,Buses,1139164,56
2022-02-01,Buses,1127084,52
2022-02-02,Buses,1314898,61
2022-02-03,Buses,1304726,61
2022-02-04,Buses,1176367,55
2022-02-05,Buses,726750,57
2022-02-06,Buses,558211,57
2022-02-07,Buses,1297024,60
2022-02-08,Buses,1387432,64
2022-02-09,Buses,1421706,66
2022-02-10,Buses,1423775,66
2022-02-11,Buses,1348189,63
2022-02-12,Buses,820629,65
2022-02-13,Buses,510307,52
2022-02-14,Buses,1272100,59
2022-02-15,Buses,1340123,62
2022-02-16,Buses,1406714,65
2022-02-17,Buses,1408571,65
2022-02-18,Buses,1285978,60
2022-02-19,Buses,723602,57
2022-02-20,Buses,571789,59
2022-02-21,Buses,873961,89
2022-02-22,Buses,1143526,53
2022-02-23,Buses,1247209,58
2022-02-24,Buses,1196924,56
2022-02-25,Buses,1027563,48
2022-02-26,Buses,775358,61
2022-02-27,Buses,604646,62
2022-02-28,Buses,1362855,63
2022-03-01,Buses,1435834,64
2022-03-02,Buses,1463263,65
2022-03-03,Buses,1434851,64
2022-03-04,Buses,1363159,61
2022-03-05,Buses,812774,61
2022-03-06,Buses,600501,60
2022-03-07,Buses,1395540,62
2022-03-08,Buses,1456451,65
2022-03-09,Buses,1338822,60
2022-03-10,Buses,1476288,66
2022-03-11,Buses,1419371,63
2022-03-12,Buses,637601,48
2022-03-13,Buses,590753,59
2022-03-14,Buses,1406578,63
2022-03-15,Buses,1454522,65
2022-03-16,Buses,1476356,66
2022-03-17,Buses,1350810,60
2022-03-18,Buses,1402806,63
2022-03-19,Buses,820933,62
2022-03-20,Buses,628693,63
2022-03-21,Buses,1418900,63
2022-03-22,Buses,1471299,66
2022-03-23,Buses,1438665,64
2022-03-24,Buses,1373850,61
2022-03-25,Buses,1397899,62
2022-03-26,Buses,783499,59
2022-03-27,Buses,628313,63
2022-03-28,Buses,1336330,60
2022-03-29,Buses,1430099,64
2022-03-30,Buses,1465351,65
2022-03-31,Buses,1450363,65
2022-04-01,Buses,1411421,65
2022-04-02,Buses,879513,66
2022-04-03,Buses,607152,61
2022-04-04,Buses,1447820,66
2022-04-05,Buses,1484961,68
2022-04-06,Buses,1403198,64
2022-04-07,Buses,1379678,63
2022-04-08,Buses,1443367,66
2022-04-09,Buses,868945,65
2022-04-10,Buses,667662,67
2022-04-11,Buses,1433226,66
2022-04-12,Buses,1496004,68
2022-04-13,Buses,1495891,68
2022-04-14,Buses,1438990,66
2022-04-15,Buses,1137728,52
2022-04-16,Buses,830874,62
2022-04-17,Buses,596619,60
2022-04-18,Buses,1145261,52
2022-04-19,Buses,1189960,54
2022-04-20,Buses,1265823,58
2022-04-21,Buses,1231047,56
2022-04-22,Buses,1217380,56
2022-04-23,Buses,844146,63
2022-04-24,Buses,648591,65
2022-04-25,Buses,1415638,65
2022-04-26,Buses,1453452,66
2022-04-27,Buses,1500437,69
2022-04-28,Buses,1468093,67
2022-04-29,Buses,1429909,65
2022-04-30,Buses,884540,66
2022-05-01,Buses,676070,70
2022-05-02,Buses,1176867,52
2022-05-03,Buses,1500109,66
2022-05-04,Buses,1465639,64
2022-05-05,Buses,1523580,67
2022-05-06,Buses,1353750,60
2022-05-07,Buses,706551,51
2022-05-08,Buses,630228,65
2022-05-09,Buses,1428758,63
2022-05-10,Buses,1504314,66
2022-05-11,Buses,1514922,67
2022-05-12,Buses,1495220,66
2022-05-13,Buses,1410923,62
2022-05-14,Buses,840921,60
2022-05-15,Buses,692876,72
2022-05-16,Buses,1396300,61
2022-05-17,Buses,1519740,67
2022-05-18,Buses,1511142,66
2022-05-19,Buses,1426027,63
2022-05-20,Buses,1396732,61
2022-05-21,Buses,883795,63
2022-05-22,Buses,683500,71
2022-05-23,Buses,1431781,63
2022-05-24,Buses,1488152,65
2022-05-25,Buses,1493506,66
2022-05-26,Buses,1464696,64
2022-05-27,Buses,1353398,60
2022-05-28,Buses,788135,56
2022-05-29,Buses,701173,73
2022-05-30,Buses,755616,78
2022-05-31,Buses,1426470,63
2022-06-01,Buses,1465383,68
2022-06-02,Buses,1433303,67
2022-06-03,Buses,1431042,67
2022-06-04,Buses,904623,65
2022-06-05,Buses,691644,64
2022-06-06,Buses,1411725,66
2022-06-07,Buses,1440940,67
2022-06-08,Buses,1496144,70
2022-06-09,Buses,1333103,62
2022-06-10,Buses,1435660,67
2022-06-11,Buses,870550,62
2022-06-12,Buses,626471,58
2022-06-13,Buses,1440429,67
2022-06-14,Buses,1493761,69
2022-06-15,Buses,1478668,69
2022-06-16,Buses,1397317,65
2022-06-17,Buses,1397243,65
2022-06-18,Buses,884050,63
2022-06-19,Buses,693231,64
2022-06-20,Buses,1077190,99
2022-06-21,Buses,1408052,66
2022-06-22,Buses,1361456,63
2022-06-23,Buses,1382605,64
2022-06-24,Buses,1331442,62
2022-06-25,Buses,888953,63
2022-06-26,Buses,696910,64
2022-06-27,Buses,1279403,60
